Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64
09/24/2020 13:43:02;100;100;100;100;100;1.08;1.008;3.328;3.328;1.04000008;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;41.5;120;37;113;111;32;2360.14;70.3125;68.75;62.5;64.0625;66.40625;57;61;53;57;61;3600.022;3600.022;3600.022;3600.022;33.2659874;27.1124287;0;100.00061;60.02363;4.77006531;3.17691422;38;731.612549;2505.58423;1463.2251;23;10;34;11;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:03;100;100;100;100;100;1.08;1.008;3.31200027;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;52.5;41.5;120;37;113;111;32;2347.82617;82.8125;68.75;73.4375;73.4375;74.609375;57;60;53;59;60;3600.02954;3600.02954;3600.02954;3600.02954;35.96507;29.7282963;0;100.000816;60.05137;4.77227;3.17470932;38;731.612549;2505.58423;1463.2251;21;10;34;10;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:04;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51.5;42;121;37;113;111;32;2339.688;59.375;65.625;59.375;57.8125;60.546875;55;59;53;57;59;1600.01123;3600.02515;3600.02515;3600.02515;33.0591736;26.9271183;0;100.0007;60.021225;4.76987457;3.177105;37;731.612549;2505.58423;1463.2251;15;7;34;6;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:05;100;100;100;100;100;1.08;1.008;3.31200027;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51.5;42;120;37;113;111;32;2347.82617;67.1875;54.6875;64.0625;68.75;63.671875;58;62;57;60;62;3600.02368;3600.02368;3600.02368;3600.02368;32.6849;26.56416;0;100.000656;59.96545;4.765442;3.18153763;37;731.612549;2505.58423;1463.2251;24;10;33;12;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:06;100;100;100;100;100;1.08;1.008;3.328;3.328;1.04000008;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51.5;42;121;37;114;111;32;2343.75;78.125;82.8125;79.6875;75;78.90625;56;59;53;57;59;1600.01135;1600.01135;3600.02563;3600.02563;34.5580139;28.4126511;0;100.00071;59.93084;4.7626915;3.184288;37;731.612549;2505.58423;1463.2251;14;8;33;6;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:07;100;100;100;100;100;1.088;1.008;3.328;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;42;121;37;113;111;32;2343.75;60.9375;53.125;59.375;53.125;56.640625;57;60;54;60;60;3600.02466;3600.02466;3600.02466;3600.02466;31.3921833;25.3820152;0;100.000687;59.9293976;4.762577;3.18440247;38;731.612549;2505.58423;1463.2251;20;9;33;10;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:08;100;100;100;100;100;0.952;1.008;3.328;3.328;1.04000008;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;48.5;42;120;37;113;111;32;2356.021;43.75;35.9375;37.5;32.8125;37.5;55;57;50;54;57;3600.02466;1600.011;3600.02466;3600.02466;25.1119919;19.3070469;0;100.000687;59.92541;4.76226044;3.184719;37;731.612549;2505.58423;1463.2251;15;7;33;7;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:09;100;100;100;100;100;1.072;1.008;3.31200027;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;51;42;121;37;113;111;32;2347.82617;64.0625;59.375;50;56.25;57.421875;57;62;55;59;62;3600.02466;3600.02466;3600.02466;3600.02466;30.2538948;24.2129631;0;100.000687;59.90002;4.76024246;3.186737;38;731.612549;2505.58423;1463.2251;20;9;33;10;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:10;100;100;100;100;100;1.08;1;3.31200027;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;52.5;42;121;37;113;111;32;2339.688;71.875;78.125;78.125;87.5;78.90625;58;63;57;60;62;3600.02466;3600.02466;3600.02466;3600.02466;35.5278625;29.198204;0;100.000687;59.94495;4.763813;3.1831665;38;731.612549;2505.58423;1463.2251;21;10;33;10;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
09/24/2020 13:43:11;100;100;100;100;100;1.072;1;3.31200027;3.31200027;1.03200006;0.792000055;3.37600017;3.29600024;1.0480001;0.144000009;0.120000005;0.120000005;0.120000005;0.120000005;53.5;42;120;37;113;111;32;2351.91626;84.375;90.625;81.25;81.25;84.375;58;63;56;60;62;3600.02539;3600.02539;3600.02539;3600.02539;36.85057;30.42609;0;100.0007;59.9698677;4.765793;3.18118668;38;731.612549;2505.58423;1463.2251;23;10;33;11;33;2048;878.8164;1169.18359;42.9109573;37;18.4883423
